Orden,Suborden,Propiedad,Denominacion,NaturalezaJuridica,Uso,Destino,Superficie,ReferenciaCatastral,Tipo
507,-,143,HUESAS DEL VASALLO. Nº 113 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,1.212E7 m2,16900A092000010000ZK  y siete más,MONTES
508,-,144,MUELA DE LA MADERA. Nº 114 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,2.735E7 m2,16900A102000210000UR entre otras,MONTES
509,-,145,EL PAJAREJO. Nº 115 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,1.015E7 m2,16900A099000040000ZS entre otras,MONTES
510,-,146,EL PICUERZO. Nº 116 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,2.0517E7 m2,16900A105000010000UG entre otras,MONTES
511,-,147,PIE PAJARÓN. Nº 117 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,2.482E7 m2,16900A102000830000UO entre otras,MONTES
512,-,148,PRADO CIERVO. Nº 118 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,1.714E7 m2,16900A108000120000UJ entre otrasT.muerta,MONTES
513,-,149,SIERRA DE LOS BARRANCOS. Nº 119 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,5.3924E7 m2,16900A089000010000ZK entre otras,MONTES
514,-,150,SIERRA DE LAS CANALES. Nº 120 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,2.528E7 m2,16900A09800015 entre otras,MONTES
515,-,151,SIERRA DE CUENCA. Nº 121 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,7.23037E7 m2,16900A093000010000ZP entre otras,MONTES
516,-,152,SIERRA DE FUERTESCUSA. Nº 122 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,1.7742E7 m2,16900A086000010000ZL entre otras / poyatos.,MONTES
517,-,153,SIERRA DE POYATOS. Nº 122 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,8248000.0 m2,16900A085000020000ZD entre otras. Fuertes.,MONTES
518,-,154,SOLANA DE UÑA. Nº 124 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,4486000.0 m2,16900A101000010000UQ entre otras,MONTES
519,-,155,TIERRA MUERTA. Nº 118 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,1.4174E7 m2,16900A108000120000UJ entre otras. Prado Ciervo. Pol. 108 parcs. 12-36,MONTES
520,-,156,VEGUILLAS DE TAJO. Nº 126 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,3.89687E7 m2,16900A096000010000ZO entre otras.,MONTES
521,-,157,CERRO CANDALAR. Nº 131 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,3.20035E7 m2,16900A099000130000ZB entre otras,MONTES
522,-,238,EL VASALLO. Nº 123 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,2750000.0 m2,16900A09200004 entre otras,MONTES
523,-,239,MUELA PINILLA (MUELA DEL PUNTAL). Nº 125 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,2600000.0 m2,16900A114000010000UD entre otras,MONTES
524,-,240,POZO DE AGUA DULCE. EN EL CADORZO Y LOS LLECOS.,Dominio Público,Uso Público,Infraestructuras Hidráulicas,4020.0 m2,16900A113000340000UU,MONTES
525,-,167,LA CASERNA. EN EL CADORZO Y LOS LLECOS.,Dominio Público,Montes U.P.,Montes Utilidad Pública,1140.0 m2,16900A113000340000UU,MONTES
530,-,358,EDIFICIO EN C/ REAL. 10 (ACTUAL 6). DE COLLIGUA,Patrimonial,Patrimoniales,Locales,198.0 m2,3233601WK6333S0001HE,CÓLLIGA
531,-,359,EDIFICIO EN C/ DE LA IGLESIA. 5. DE COLLIGUILLA.,Patrimonial,Patrimoniales,Locales,0.0 m2,6039402WK6363N0001PU,CÓLLIGA
532,-,361,RÚSTICA EN 'LA SABINILLA'. POLG. 1. PARC. 43,Patrimonial,Patrimoniales,Parcelas Rústicas,7650.0 m2,16900B502010040000FW,CÓLLIGA
533,-,362,RÚSTICA EN LA QUEBRADA. POLG. 14. PARC. 17,Patrimonial,Patrimoniales,Parcelas Rústicas,53147.0 m2,16900B514000170000FG,CÓLLIGA
534,-,363,RÚSTICA EN 'CERRILO DE LAS CRUCES'. POLG. 15. PARC. 95,Patrimonial,Patrimoniales,Parcelas Rústicas,17560.0 m2,16900B515000950000FP,CÓLLIGA
535,-,364,DEHESA BOYAL DE CÓLLIGA MUP 105,Dominio Público,Montes U.P.,Montes Utilidad Pública,1820000.0 m2,16900B513050040000FR,CÓLLIGA
536,-,345,ANTIGUAS CASAS CONSISTORIALES,Patrimonial,Patrimoniales,Locales,115.0 m2,2260201WK8425N0001II,VALDECABRAS
537,-,346,ANTIGUAS ESCUELAS,Patrimonial,Patrimoniales,Locales,90.0 m2,2260201WK8425N0001II,VALDECABRAS
538,-,245,ANTIGUAS CASAS CONSISTORIALES,Patrimonial,Patrimoniales,Locales,100.0 m2,7313001WK7371S0001SB,LA MELGOSA
539,-,354,DEPÓSITO  DE AGUA,Dominio Público,Servicio Público,Infraestructuras Hidráulicas,51.12 m2,16900C505010020000IY,LA MELGOSA
540,-,434,RÚSTICA. POLG. 504. PARC. 2,Patrimonial,Patrimoniales,Parcelas Rústicas,68140.0 m2,16900C504000020000IO,LA MELGOSA
541,-,435,RÚSTICA. POLG. 503. PARC. 14 'LA DEHESA' MUP 284,Dominio Público,Montes U.P.,Montes Utilidad Pública,980760.0 m2,16900C503000140000IY,LA MELGOSA
542,-,436,DEPURADORA AGUA. PARTE POLG. 11. PARC. 28,Patrimonial,Patrimoniales,Solares,84.8 m2,7414612WK7371S0001DB,LA MELGOSA
543,-,1218,SOLAR EN C/ REAL. 7,Patrimonial,Patrimoniales,Solares,600.0 m2,0177009WK7307N0001OJ,NOHALES
544,-,1744,FINCA 'SGEL-2',Dominio Público,Uso Público,Vías Públicas Urbanas,2328.9 m2,16900A067000690000ZZ,VILLA ROMAN IV
545,-,1221,RÚSTICA. POLG. 509 PARC. 53,Patrimonial,Patrimoniales,Parcelas Rústicas,5440.0 m2,16900A509000530000BJ,NOHALES
546,-,1745,FINCA 'SGEL-3',Dominio Público,Uso Público,Vías Públicas Urbanas,6419.03 m2,16900A067000700000ZE,VILLA ROMAN IV
547,-,1223,RÚSTICA. POLG. 509 PARC. 38,Patrimonial,Patrimoniales,Parcelas Rústicas,1480.0 m2,16900A508000380000BD,NOHALES
548,-,1225,URBANA. C/ REAL. 3,Patrimonial,Patrimoniales,Parcelas Rústicas,400.0 m2,0276008WK7060N0001PX,NOHALES
549,-,1226,URBANA. C/ REAL. 1,Patrimonial,Patrimoniales,Parcelas Rústicas,1240.0 m2,0276005WK7060N0001YX,NOHALES
550,-,1227,RÚSTICA. POLG. 510 PARC. 30,Patrimonial,Patrimoniales,Solares,720.0 m2,0365301WK7306E,NOHALES
551,-,1718,SUBPARCELA C-3.2.C EQUIP. URBANO,Dominio Público,Servicio Público,Otros,4341.76 m2,4049107WK7345A0001YB,POLIGONO DE URBANIZACION RM2-A 'CASILLA DE SAN JOSE'
552,-,1722,FINCA B ANTIGUOS TERRENOS EN EL VIVERO CENTRAL,Dominio Público,Servicio Público,Centros Culturales,64639.0 m2,2857404WK7335G0001KQ,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
553,-,1723,FINCA C ANTIGUOS TERRENOS EN EL VIVERO CENTRAL,Dominio Público,Servicio Público,Bomberos,4656.0 m2,2857403WK7335G0001OQ,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
554,-,1724,FINCA D ANTIGUOS TERRENOS EN EL VIVERO CENTRAL,Dominio Público,Servicio Público,Parque Público,9043.0 m2,2857402WK7335G0001MQ,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
555,-,1714,LOCAL SOTERRADO BAJO ACERADO MIRADOR PEDRO MERCEDES,Dominio Público,Uso Público,Infraestructuras Alumbrado,39.95 m2,3568201WK7336H0001FR,PERI 1 DEL PLAN ESPECIAL DE ORDENACIÓN. MEJORA Y PROTECCIÓN DEL CASCO ANTIGUO EN CUENCA Y SUS HOCES
556,-,1727,RÚSTICA. FINCA 1004 DEL POLÍGONO 502,Patrimonial,Patrimoniales,Parcelas Rústicas,20171.0 m2,16900A502010040000BW,NOHALES
557,-,1236,RÚSTICA. POLG. 508 PARC. 20,Patrimonial,Patrimoniales,Parcelas Rústicas,5460.0 m2,16900A508000200000BH,NOHALES
558,-,1720,RÚSTICA POLÍGONO 514 PARCELA 1001,Patrimonial,Patrimoniales,Parcelas Rústicas,9614.0 m2,16900B514010010000FK,CÓLLIGA
559,-,1743,FINCA 'DOT-E',Dominio Público,Servicio Público,Otros,2452.0 m2,5147403WK7354G0001MG,VILLA ROMAN III
560,-,1381,RÚSTICA. POLG. 508 PARC. 1,Patrimonial,Patrimoniales,Parcelas Rústicas,12240.0 m2,16900A508000010000BF,NOHALES
561,-,360,EDIFICIO EN C/ HOSPITAL. 1 Y 2.,Patrimonial,Patrimoniales,Locales,84.0 m2,9629201WK5392N0001KD::9629301WK5392N0001XD,DESCONOCIDO
562,-,1358,EDIFICIO EN PLAZA. 1.,Patrimonial,Patrimoniales,Locales,105.0 m2,9528201WK5392N0001ZD,VILLANUEVA DE LOS ESCUDEROS
563,-,365,RÚSTICA EN BOCA FUENTE DEL OJO. POLG. 501. PARC. 88,Patrimonial,Patrimoniales,Parcelas Rústicas,108600.0 m2,16900G501000880000UH,VILLANUEVA DE LOS ESCUDEROS
564,A,366,RÚSTICA EN CERRO LA OLMEDA. POLG. 502. PARC. 12 MÁS 1004 Y 1005,Patrimonial,Patrimoniales,Parcelas Rústicas,70364.0 m2,16900G502000120000UL::16900G502010040000UW::16900G502010050000UA,VILLANUEVA DE LOS ESCUDEROS
565,-,367,RÚSTICA EN CERRO LA OLMEDA. POLG. 502. PARC. 14,Patrimonial,Patrimoniales,Parcelas Rústicas,8740.0 m2,16900G502000140000UF,VILLANUEVA DE LOS ESCUDEROS
566,-,368,RÚSTICA EN FUENTE DE LA MONJILLA. POLG. 502. PAR. 43,Patrimonial,Patrimoniales,Parcelas Rústicas,7520.0 m2,16900G502000430000UP,VILLANUEVA DE LOS ESCUDEROS
567,-,369,RÚSTICA EN LOS MORALEJOS. POLG. 502. PARC. 46,Patrimonial,Patrimoniales,Parcelas Rústicas,9680.0 m2,16900G502000460000UF,VILLANUEVA DE LOS ESCUDEROS
568,-,370,RÚSTICA EN HOYA DE LAS MUELAS. POLG. 503. PARC. 30,Patrimonial,Patrimoniales,Parcelas Rústicas,62600.0 m2,16900G503000300000UR,VILLANUEVA DE LOS ESCUDEROS
569,-,371,RÚSTICA EN LA CRUCETA. POLG. 503. PARC. 32,Patrimonial,Patrimoniales,Parcelas Rústicas,14360.0 m2,16900G503000320000UX,VILLANUEVA DE LOS ESCUDEROS
570,-,372,RÚSTICA EN LOS POZUELOS. POLG. 503. PARC. 59,Patrimonial,Patrimoniales,Parcelas Rústicas,4680.0 m2,16900G503000590000UR,VILLANUEVA DE LOS ESCUDEROS
571,-,373,RÚSTICA EN SOLANA DEL PUNTALÓN. POLG. 503. PAR. 65,Patrimonial,Patrimoniales,Parcelas Rústicas,19280.0 m2,16900G503000650000UI,VILLANUEVA DE LOS ESCUDEROS
572,-,374,RÚSTICA EN LA HOYA. POLG. 504. PARC. 71,Patrimonial,Patrimoniales,Parcelas Rústicas,28000.0 m2,16900G504000710000UR,VILLANUEVA DE LOS ESCUDEROS
573,-,375,RÚSTICA EN EL CHARCO. POLG. 504. PARC. 78,Patrimonial,Patrimoniales,Parcelas Rústicas,13480.0 m2,16900G504000780000UZ,VILLANUEVA DE LOS ESCUDEROS
574,-,376,RÚSTICA EN HAZA DEL ALMENDRO. POLG. 505. PAR. 9,Patrimonial,Patrimoniales,Parcelas Rústicas,580.0 m2,16900G505000090000UK,VILLANUEVA DE LOS ESCUDEROS
575,-,377,RÚSTICA EN LA RECORIA. POLG. 505. PARC. 65,Patrimonial,Patrimoniales,Parcelas Rústicas,33500.0 m2,16900G505000650000UG,VILLANUEVA DE LOS ESCUDEROS
576,-,378,RUSTICA EN RINCÓN ROMUALDO Y CAÑADA HONDA. POLG. 505. PARC. 86,Patrimonial,Patrimoniales,Parcelas Rústicas,93000.0 m2,16900G505000860000US,VILLANUEVA DE LOS ESCUDEROS
577,A,379,RÚSTICA EN PEÑA QUEBRADA. POLG. 505. PARC. 92 + 1014,Patrimonial,Patrimoniales,Parcelas Rústicas,14462.0 m2,16900G505000920000UH::16900G505010140000UK,VILLANUEVA DE LOS ESCUDEROS
578,-,380,RÚSTICA EN VALLEJO DE LOS ESTEPARES Y CHORRO. POLG. 506. PARC. 50,Patrimonial,Patrimoniales,Parcelas Rústicas,52040.0 m2,16900G506000500000UF,VILLANUEVA DE LOS ESCUDEROS
579,-,381,RÚSTICA EN VALLEJO DE LOS ESTEPARES. POLG. 506. PARC. 52,Patrimonial,Patrimoniales,Parcelas Rústicas,22580.0 m2,16900G506000520000UO,VILLANUEVA DE LOS ESCUDEROS
580,-,382,RÚSTICA EN LA CASILLA. POLG. 507. PARC. 20,Patrimonial,Patrimoniales,Parcelas Rústicas,5440.0 m2,16900G507000200000UQ,VILLANUEVA DE LOS ESCUDEROS
581,-,394,ANTIGUAS CASAS CONSISTORIALES Y ESCUELAS,Patrimonial,Patrimoniales,Solares,70.0 m2,6662527WK6466S0001MW,TONDOS
582,-,395,SOLAR EN C/ LA PLAZA,Patrimonial,Patrimoniales,Solares,50.0 m2,6763709WK6466S0001SW,TONDOS
583,-,396,'LA PINADA',Patrimonial,Patrimoniales,Parcelas Rústicas,420000.0 m2,NO LOCALIZADO,TONDOS
584,-,397,EL HOYUELO Y LA CORONILLA,Patrimonial,Patrimoniales,Parcelas Rústicas,9600.0 m2,16900E010003480000BR,TONDOS
585,-,398,SIERRA DE TEJAREJO,Patrimonial,Patrimoniales,Parcelas Rústicas,1264396.0 m2,16128A010000160000DG::16128A010000180000DP::16128A010000060000DZ,DESCONOCIDO
586,-,399,LA SIERRA,Patrimonial,Patrimoniales,Parcelas Rústicas,8822333.0 m2,16900E009000890000BU,TONDOS
587,-,292,RÚSTICA. POLG. 501. PARC. 32,Patrimonial,Patrimoniales,Parcelas Rústicas,36960.0 m2,16900E501000320000LG,TONDOS
588,-,293,RÚSTICA. POLG. 501. PARC. 41,Patrimonial,Patrimoniales,Parcelas Rústicas,44640.0 m2,16900E501000410000LM,TONDOS
589,-,294,RÚSTICA. POLG. 502. PARC. 111 Y POL. 502 PARC. 1008,Patrimonial,Patrimoniales,Parcelas Rústicas,618360.0 m2,16900E502001110000LF::16900E502010080000LG,DESCONOCIDO
590,-,295,RÚSTICA. POLG. 503. PARC. 1,Patrimonial,Patrimoniales,Parcelas Rústicas,172100.0 m2,16900E503000010000LI,TONDOS
591,-,296,RÚSTICA. POLG. 503. PARC. 4,Patrimonial,Patrimoniales,Parcelas Rústicas,75400.0 m2,16900E503000040000LS,TONDOS
592,-,297,RÚSTICA. POLG. 503. PARC. 28,Patrimonial,Patrimoniales,Parcelas Rústicas,2800.0 m2,16900E503000280000LD,TONDOS
593,-,298,RÚSTICA. POLG. 503. PARC. 35,Patrimonial,Patrimoniales,Parcelas Rústicas,4640.0 m2,16900E503000350000LE,TONDOS
594,-,299,RÚSTICA. POLG. 503. PARC. 64,Patrimonial,Patrimoniales,Parcelas Rústicas,12480.0 m2,16900E503000640000LX,TONDOS
595,-,300,RÚSTICA. POLG. 504. PARC. 6,Patrimonial,Patrimoniales,Parcelas Rústicas,120520.0 m2,16900E504000060000LX,TONDOS
596,-,301,RÚSTICA. POLG. 504. PARC. 9,Patrimonial,Patrimoniales,Parcelas Rústicas,67120.0 m2,16900E504000090000LE,TONDOS
597,-,302,RÚSTICA. POLG. 504. PARC. 11,Patrimonial,Patrimoniales,Parcelas Rústicas,25520.0 m2,16900E504000110000LJ,TONDOS
598,-,303,RÚSTICA. POLG. 504. PARC. 20,Patrimonial,Patrimoniales,Parcelas Rústicas,192400.0 m2,16900E504000200000LW,TONDOS
599,-,304,RÚSTICA. POLG. 504. PARC. 27,Patrimonial,Patrimoniales,Parcelas Rústicas,50240.0 m2,16900E504000270000LL,TONDOS
600,-,305,RÚSTICA. POLG. 505. PARC. 17,Patrimonial,Patrimoniales,Parcelas Rústicas,60600.0 m2,16900E505000170000LJ,TONDOS
601,-,306,RÚSTICA. POLG. 505. PARC. 20,Patrimonial,Patrimoniales,Parcelas Rústicas,25240.0 m2,16900E505000200000LJ,TONDOS
602,-,307,RÚSTICA. POLG. 505. PARC. 31,Patrimonial,Patrimoniales,Parcelas Rústicas,661220.0 m2,16900E505000310000LB,TONDOS
603,-,308,RÚSTICA. POLG. 506. PARC. 24,Patrimonial,Patrimoniales,Parcelas Rústicas,380.0 m2,16900E506000240000LX,TONDOS
604,-,309,RÚSTICA. POLG. 506. PARC. 37,Patrimonial,Patrimoniales,Parcelas Rústicas,850.0 m2,16900E506000370000LB,TONDOS
605,-,310,RÚSTICA. POLG. 506. PARC. 39,Patrimonial,Patrimoniales,Parcelas Rústicas,324900.0 m2,16900E506000390000LG,TONDOS
606,-,311,RÚSTICA. POLG. 506. PARC. 42,Patrimonial,Patrimoniales,Parcelas Rústicas,53600.0 m2,16900E506000420000LG,TONDOS
607,-,312,RÚSTICA. POLG. 506. PARC. 45,Patrimonial,Patrimoniales,Parcelas Rústicas,8080.0 m2,16900E506000450000LL,TONDOS
608,-,313,RÚSTICA. POLG. 507. PARC. 11,Patrimonial,Patrimoniales,Parcelas Rústicas,245120.0 m2,16900E507000110000LH,TONDOS
609,-,314,RÚSTICA. POLG. 507. PARC. 14,Patrimonial,Patrimoniales,Parcelas Rústicas,14180.0 m2,16900E507000140000LB,TONDOS
610,-,315,RÚSTICA. POLG. 507. PARC. 17,Patrimonial,Patrimoniales,Parcelas Rústicas,230.0 m2,16900E507000170000LQ,TONDOS
611,-,316,RÚSTICA. POLG. 508. PARC. 35,Patrimonial,Patrimoniales,Parcelas Rústicas,246510.0 m2,16900E508000350000LO,TONDOS
612,-,317,RÚSTICA. POLG. 508. PARC. 42,Patrimonial,Patrimoniales,Parcelas Rústicas,33420.0 m2,16900E508000420000LX,TONDOS
613,-,437,RÚSTICA. POLG. 506. PARC. 5014 'EL LLANILLO',Patrimonial,Patrimoniales,Parcelas Rústicas,292220.0 m2,16900E506050140000LU,TONDOS
614,-,438,RÚSTICA. POLG. 506. PARC. 5078 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,1205.0 m2,16900E506050780000LU,TONDOS
615,-,439,RÚSTICA. POLG. 506. PARC. 5079 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,354.0 m2,16900E506050790000LH,TONDOS
616,-,440,RÚSTICA. POLG. 506. PARC. 5080 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,3687.0 m2,16900E506050800000LZ,TONDOS
617,-,441,RÚSTICA. POLG. 506. PARC. 5081 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,993.0 m2,16900E506050810000LU,TONDOS
618,-,442,RÚSTICA. POLG. 506. PARC. 5082 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,709.0 m2,16900E506050820000LH,TONDOS
619,-,443,RÚSTICA. POLG. 506. PARC. 5083 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,1134.0 m2,16900E506050830000LW,TONDOS
620,-,444,RÚSTICA. POLG. 506. PARC. 5084 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,3899.0 m2,16900E506050840000LA,TONDOS
621,-,445,RÚSTICA. POLG. 506. PARC. 5085 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,3049.0 m2,16900E506050850000LB,TONDOS
622,-,446,RÚSTICA. POLG. 506. PARC. 5086 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,1843.0 m2,16900E506050860000LY,TONDOS
623,-,447,RÚSTICA. POLG. 506. PARC. 5087 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,2127.0 m2,16900E506050870000LG,TONDOS
624,-,448,RÚSTICA. POLG. 506. PARC. 5088 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,2127.0 m2,16900E506050880000LQ,TONDOS
625,-,449,RÚSTICA. POLG. 506. PARC. 5089 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,2127.0 m2,16900E506050890000LP,TONDOS
626,-,450,RÚSTICA. POLG. 506. PARC. 5090 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,993.0 m2,16900E506050900000LG,TONDOS
627,-,451,RÚSTICA. POLG. 506. PARC. 5091 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,1134.0 m2,16900E506050910000LQ,TONDOS
628,-,452,RÚSTICA. POLG. 506. PARC. 5092 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,2056.0 m2,16900E506050920000LP,TONDOS
629,-,453,RÚSTICA. POLG. 506. PARC. 5093 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,851.0 m2,16900E506050930000LL,TONDOS
630,-,454,RÚSTICA. POLG. 506. PARC. 5094 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,851.0 m2,16900E506050940000LT,TONDOS
631,-,455,RÚSTICA. POLG. 506. PARC. 5095 'EL HOYUELO',Patrimonial,Patrimoniales,Parcelas Rústicas,2765.0 m2,16900E506050950000LF,TONDOS
632,-,456,RÚSTICA. POLG. 506. PARC. 5096 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,1276.0 m2,16900E506050960000LM,TONDOS
633,-,457,RÚSTICA. POLG. 506. PARC. 5097 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,1276.0 m2,16900E506050970000LO,TONDOS
634,-,458,RÚSTICA. POLG. 506. PARC. 5098 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,2127.0 m2,16900E506050980000LK,TONDOS
635,-,459,RÚSTICA. POLG. 506. PARC. 5099 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,3190.0 m2,16900E506050990000LR,TONDOS
636,-,460,RÚSTICA. POLG. 506. PARC. 5100 'HOYUELO',Patrimonial,Patrimoniales,Parcelas Rústicas,2269.0 m2,16900E506051000000LR,TONDOS
637,-,461,RÚSTICA. POLG. 506. PARC. 5101 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,780.0 m2,16900E506051010000LD,TONDOS
638,-,462,RÚSTICA. POLG. 506. PARC. 5102 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,780.0 m2,16900E506051020000LX,TONDOS
639,-,463,RÚSTICA. POLG. 506. PARC. 5103 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,1843.0 m2,16900E506051030000LI,TONDOS
640,-,464,RÚSTICA. POLG. 506. PARC. 5104 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,354.0 m2,16900E506051040000LJ,TONDOS
641,-,465,RÚSTICA. POLG. 506. PARC. 5105 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,1276.0 m2,16900E506051050000LE,TONDOS
642,-,466,RÚSTICA. POLG. 506. PARC. 5106 'V. AHUMADOS',Patrimonial,Patrimoniales,Parcelas Rústicas,1205.0 m2,16900E506051060000LS,TONDOS
643,-,467,RÚSTICA. POLG. 506. PARC. 5107 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,2481.0 m2,16900E506051070000LZ,TONDOS
644,-,468,RÚSTICA. POLG. 506. PARC. 5108 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,4468.0 m2,16900E506051080000LU,TONDOS
645,-,469,RÚSTICA. POLG. 506. PARC. 5109 'LAS SENDAS',Patrimonial,Patrimoniales,Parcelas Rústicas,1843.0 m2,16900E506051090000LH,TONDOS
